ticket_id,created_at,resolved_at,created_by,classroom_id,building,category,subcategory,description,resolution_notes,assigned_technician,resolution_time_minutes
INC0201474,2025-01-05 07:50:49,2025-01-05 07:58:49,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,18
INC0202485,2025-01-06 05:27:36,,25Live,WIE-412,Wieboldt Hall,Classroom Scheduling,Room reservation sync,ACCT-410-0-51 Financial Accounting,,,
INC0201685,2025-01-06 05:30:44,2025-01-06 05:53:44,25Live,WIE-110,Wieboldt Hall,Classroom Scheduling,Room reservation sync,Faculty Meeting,Auto-closed by scheduling integration.,,27
INC0200878,2025-01-06 07:00:00,2025-01-06 07:11:00,25Live,WIE-142,Wieboldt Hall,Classroom Scheduling,Room reservation sync,FINC-430-0-51 Corporate Finance,Auto-closed by scheduling integration.,,26
INC0200091,2025-01-06 11:36:00,2025-01-06 17:56:00,Staff6497442,WIE-246,Wieboldt Hall,AV Technical Support,Podium PC / login,Instructor cannot log in to podium PC with NetID.,Deferred updates to maintenance window; PC available for class.,M. Reyes,380
INC0200913,2025-01-07 05:03:52,2025-01-07 05:16:52,25Live,WIE-205,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MKTG-450-0-61 Brand Strategy,Auto-closed by scheduling integration.,,28
INC0202502,2025-01-07 05:08:52,2025-01-07 05:20:52,25Live,WIE-544,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,Auto-closed by scheduling integration.,,4
INC0202007,2025-01-07 05:29:38,,25Live,WIE-105,Wieboldt Hall,Classroom Scheduling,Room reservation sync,STRT-452-0-71 Competitive Strategy,,,
INC0201567,2025-01-07 05:33:41,2025-01-07 06:00:41,25Live,WIE-306,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,23
INC0202288,2025-01-07 05:43:28,2025-01-07 05:57:28,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MECN-425-0-52 Managerial Economics,Auto-closed by scheduling integration.,,5
INC0201079,2025-01-07 06:27:37,2025-01-07 06:55:37,25Live,WIE-343,Wieboldt Hall,Classroom Scheduling,Room reservation sync,MORS-470-0-51 Negotiations,Auto-closed by scheduling integration.,,15
